ALGO_OPTS.OPTION0  	ALGO_OPTS.AbortOnReadErrors

ALM_SEL.OPTION0		ALM_SEL.Off
ALM_SEL.OPTION3		ALM_SEL.LO
ALM_SEL.OPTION4		ALM_SEL.LOLO
ALM_SEL.OPTION5		ALM_SEL.HI
ALM_SEL.OPTION6		ALM_SEL.HIHI

ADAPT_OPTS.OPTION0	ADAPT_OPTS.FFwdDirectActing			
ADAPT_OPTS.OPTION1	ADAPT_OPTS.FFwdDynamicCompensation
ADAPT_OPTS.OPTION2	ADAPT_OPTS.TuneAsSlave
ADAPT_OPTS.OPTION3	ADAPT_OPTS.AutoPVFilter
ADAPT_OPTS.OPTION4	ADAPT_OPTS.UseTargetMode

BAD_MASK.OPTION0   	BAD_MASK.OutOfService
BAD_MASK.OPTION1   	BAD_MASK.PowerUp
BAD_MASK.OPTION2   	BAD_MASK.DevNeedsMainNow
BAD_MASK.OPTION3   	BAD_MASK.ReadbackFailed
BAD_MASK.OPTION4   	BAD_MASK.LostNVData
BAD_MASK.OPTION5   	BAD_MASK.LostStaticData
BAD_MASK.OPTION6   	BAD_MASK.MemoryFailure
BAD_MASK.OPTION7   	BAD_MASK.OutputFailure
BAD_MASK.OPTION8   	BAD_MASK.BadPV
BAD_MASK.OPTION9   	BAD_MASK.DevNeedMSoon
BAD_MASK.OPTION10  	BAD_MASK.FailSafeSet
BAD_MASK.OPTION11  	BAD_MASK.LocalOverride
BAD_MASK.OPTION12  	BAD_MASK.SimulateActive
BAD_MASK.OPTION13  	BAD_MASK.LinkConfigError
BAD_MASK.OPTION14  	BAD_MASK.BlockConfigErr
BAD_MASK.OPTION15  	BAD_MASK.Other

BYPASS_OPTS.OPTION0	BYPASS_OPTS.MaintBypRed
BYPASS_OPTS.OPTION1	BYPASS_OPTS.MulBypAllowed
BYPASS_OPTS.OPTION2	BYPASS_OPTS.IndicateOnly
BYPASS_OPTS.OPTION3	BYPASS_OPTS.RearmAllowed
BYPASS_OPTS.OPTION4	BYPASS_OPTS.BypExpires
BYPASS_OPTS.OPTION5	BYPASS_OPTS.RemindApplies
BYPASS_OPTS.OPTION6	BYPASS_OPTS.BypDurEvent
BYPASS_OPTS.OPTION7	BYPASS_OPTS.PermitNotReq
BYPASS_OPTS.OPTION8	BYPASS_OPTS.BypPerVisible

CONTROL_OPTS.OPTION1   	CONTROL_OPTS.BkcalOutForIn1
CONTROL_OPTS.OPTION2   	CONTROL_OPTS.NoOutLimsInMan
CONTROL_OPTS.OPTION3   	CONTROL_OPTS.ObeySPLimsIfCasRCas
CONTROL_OPTS.OPTION4   	CONTROL_OPTS.UsePercentForIN_1
